datetime,temp,humidity,precipcover,preciptype,windspeed,sealevelpressure,cloudcover,solarradiation,solarenergy,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisture20,windspeed50,winddir50,windspeed80,winddir80,windspeed100,winddir100,ghiradiation,dniradiation,difradiation,gtiradiation,sunelevation
2014-01-01,3.2,58,0,,15.6,1027,66.2,117.6,10.2,,,,,,,,,0,,0,,0,,,,,,28.1
2014-01-02,2,82.6,29.17,"rain,snow",17.6,1011.9,95.1,34.1,2.9,,,,,,,,,0,,0,,0,,,,,,28.2
2014-01-03,-5.4,54.4,12.5,"rain,snow",47.9,1021.9,39.5,126.7,10.9,,,,,,,,,0,,0,,0,,,,,,28.3
2014-01-04,-3.8,53.2,0,,20.9,1030.9,16.1,125.7,10.9,,,,,,,,,0,,0,,0,,,,,,28.4
2014-01-05,2.8,79.1,20.83,"rain,snow",17,1020,97.5,24,1.9,,,,,,,,,0,,0,,0,,,,,,28.5
2014-01-06,2.5,63.9,50,"rain,snow",39.4,1006.6,81.4,67.8,5.8,,,,,,,,,0,,0,,0,,,,,,28.6
2014-01-07,-10.7,33.5,8.33,snow,29.7,1027.4,8.6,132.3,11.4,,,,,,,,,0,,0,,0,,,,,,28.7
2014-01-08,-5.6,41.2,0,,12.2,1034.4,47.5,126.5,11.1,,,,,,,,,0,,0,,0,,,,,,28.9
2014-01-09,0.5,56.2,0,,12.8,1035.9,85.2,123.3,10.6,,,,,,,,,0,,0,,0,,,,,,29
2014-01-10,1.5,84.1,75,"rain,snow",10.2,1029.4,99.7,31.5,2.7,,,,,,,,,0,,0,,0,,,,,,29.1
2014-01-11,7.6,89.5,70.83,rain,22.7,1007.1,97.1,57.6,4.9,,,,,,,,,0,,0,,0,,,,,,29.3
2014-01-12,8.4,53.7,4.17,rain,26.2,1012.5,39,128.7,11.3,,,,,,,,,0,,0,,0,,,,,,29.4
2014-01-13,7.2,65.2,4.17,rain,22.7,1016.9,55.8,113,10,,,,,,,,,0,,0,,0,,,,,,29.6
2014-01-14,9.1,81,33.33,rain,23,1010,84,29.8,2.6,,,,,,,,,0,,0,,0,,,,,,29.8
2014-01-15,5.7,81.5,8.33,rain,33.2,1013.8,97.5,50.2,4.3,,,,,,,,,0,,0,,0,,,,,,30
2014-01-16,2.8,53.2,0,,23.6,1015.1,51.1,112.6,9.8,,,,,,,,,0,,0,,0,,,,,,30.1
2014-01-17,3.7,64.4,8.33,rain,17,1013.3,58.2,130.3,11.3,,,,,,,,,0,,0,,0,,,,,,30.3
2014-01-18,-0.2,50.5,0,,30,1013.3,46.3,136.9,11.7,,,,,,,,,0,,0,,0,,,,,,30.5
2014-01-19,2.6,46.3,0,,26.8,1010.8,50.4,135.3,11.7,,,,,,,,,0,,0,,0,,,,,,30.7
2014-01-20,7.4,46.7,0,,28.1,1007.5,71.3,117.5,10.1,,,,,,,,,0,,0,,0,,,,,,30.9
2014-01-21,-0.9,70.7,37.5,"rain,snow",37.8,1010.8,95.6,44.8,3.8,,,,,,,,,0,,0,,0,,,,,,31.2
2014-01-22,-10,44.3,0,snow,42.1,1016.3,38.1,148.7,12.9,,,,,,,,,0,,0,,0,,,,,,31.4
2014-01-23,-7.5,44.7,0,,27.5,1024.6,57,103.2,8.9,,,,,,,,,0,,0,,0,,,,,,31.6
2014-01-24,-8.1,38.7,0,,27.2,1030.1,15.9,149.4,13,,,,,,,,,0,,0,,0,,,,,,31.8
2014-01-25,-2.4,41.6,0,,35.4,1006.4,86.3,38.1,3.4,,,,,,,,,0,,0,,0,,,,,,32.1
2014-01-26,-2,44.1,0,,28,1010.6,51.9,87.6,7.6,,,,,,,,,0,,0,,0,,,,,,32.3
2014-01-27,2.4,45.8,0,,40.9,1010.6,76.7,102,8.8,,,,,,,,,0,,0,,0,,,,,,32.6
2014-01-28,-8.2,35.2,0,snow,35.1,1028.2,93.3,73,6.4,,,,,,,,,0,,0,,0,,,,,,32.8
2014-01-29,-7.3,43.8,8.33,snow,28.9,1026.1,59.6,153.1,13.1,,,,,,,,,0,,0,,0,,,,,,33.1
2014-01-30,-4.7,42.4,0,,14.2,1029,13.6,162.8,14,,,,,,,,,0,,0,,0,,,,,,33.4
2014-01-31,1.7,42.1,0,,13.8,1022,81.7,139,11.9,,,,,,,,,0,,0,,0,,,,,,33.6
2014-02-01,4.2,51.6,0,,16.3,1023,63.6,129.7,11.1,,,,,,,,,0,,0,,0,,,,,,33.9
2014-02-02,8.3,52.6,0,,14.1,1015.6,79.9,123.9,10.9,,,,,,,,,0,,0,,0,,,,,,34.2
2014-02-03,4.3,80.8,54.17,rain,25.5,1020.4,97.2,62.9,5.3,,,,,,,,,0,,0,,0,,,,,,34.5
2014-02-04,0.9,63.9,4.17,"rain,snow",15.3,1028.9,83.6,101.7,8.8,,,,,,,,,0,,0,,0,,,,,,34.8
2014-02-05,2.3,80.5,50,"rain,snow",45.4,1012.8,84.8,62.8,5.4,,,,,,,,,0,,0,,0,,,,,,35.1
2014-02-06,0.7,48.6,0,,29.8,1025.6,75.5,116.4,9.9,,,,,,,,,0,,0,,0,,,,,,35.4
2014-02-07,1.9,50.6,0,,16.7,1026.8,55.9,140.4,11.9,,,,,,,,,0,,0,,0,,,,,,35.7
2014-02-08,-0.1,46.8,0,,14.6,1026,81.5,78.4,6.7,,,,,,,,,0,,0,,0,,,,,,36
2014-02-09,0,65,0,,15.6,1020.3,89.1,68.3,5.9,,,,,,,,,0,,0,,0,,,,,,36.3
2014-02-10,-1.1,50,0,,26.5,1023.2,74.6,89.9,7.7,,,,,,,,,0,,0,,0,,,,,,36.7
2014-02-11,-3,44.3,0,,21.5,1030.1,43.6,173.2,15.1,,,,,,,,,0,,0,,0,,,,,,37
2014-02-12,-4,55.7,12.5,"rain,snow",21.2,1030.8,68.7,94.1,8.2,,,,,,,,,0,,0,,0,,,,,,37.3
2014-02-13,1.2,84.1,95.83,"rain,snow",36.2,1002.5,100,34.9,2.9,,,,,,,,,0,,0,,0,,,,,,37.7
2014-02-14,5.3,52.1,4.17,rain,32.1,1002.3,40.9,183.7,15.8,,,,,,,,,0,,0,,0,,,,,,38
2014-02-15,2.3,64.7,45.83,"rain,snow",38.6,1006.8,79.1,48.4,4.2,,,,,,,,,0,,0,,0,,,,,,38.3
2014-02-16,0.1,46.6,0,,25.3,1017.7,74.1,170.8,14.8,,,,,,,,,0,,0,,0,,,,,,38.7
2014-02-17,-1,46,0,"rain,snow",21.5,1028.2,55.6,192.5,16.6,,,,,,,,,0,,0,,0,,,,,,39
2014-02-18,4.5,60.6,20.83,"rain,snow",24.5,1019.3,43.3,190.3,16.6,,,,,,,,,0,,0,,0,,,,,,39.4
2014-02-19,8.7,62.5,16.67,rain,25.5,1013,65.4,136.9,11.8,,,,,,,,,0,,0,,0,,,,,,39.7
2014-02-20,7.9,56,0,,17.4,1021.2,83.5,116.1,10.1,,,,,,,,,0,,0,,0,,,,,,40.1
2014-02-21,9.6,75.8,12.5,rain,30,1010.5,74.6,55.9,4.8,,,,,,,,,0,,0,,0,,,,,,40.5
2014-02-22,8.2,59.3,0,,25,1018,33.4,188.4,16.4,,,,,,,,,0,,0,,0,,,,,,40.8
2014-02-23,11.2,42.7,0,,24.8,1014.9,72,135.8,11.7,,,,,,,,,0,,0,,0,,,,,,41.2
2014-02-24,5.3,38,4.17,rain,39,1017.3,33.3,209.4,18.1,,,,,,,,,0,,0,,0,,,,,,41.6
2014-02-25,0.9,55.9,20.83,"rain,snow",14.7,1019,74.1,89,7.7,,,,,,,,,0,,0,,0,,,,,,41.9
2014-02-26,-0.1,53.5,25,"rain,snow",30.1,1014.1,61.3,113.7,9.8,,,,,,,,,0,,0,,0,,,,,,42.3
2014-02-27,-0.5,40.1,0,,43.1,1010.2,27,215.7,18.6,,,,,,,,,0,,0,,0,,,,,,42.7
2014-02-28,-5.7,30.9,0,,36.1,1028.2,27.5,221.2,19.1,,,,,,,,,0,,0,,0,,,,,,43.1
2014-03-01,0.8,44.2,0,,15.5,1026.6,57,207.9,17.8,,,,,,,,,0,,0,,0,,,,,,43.5
2014-03-02,5.5,65.8,29.17,rain,21,1018.1,95.6,127.9,11,,,,,,,,,0,,0,,0,,,,,,43.8
2014-03-03,-4.2,67.6,66.67,"rain,snow",38.7,1023,87.2,67.7,5.9,,,,,,,,,0,,0,,0,,,,,,44.2
2014-03-04,-5.1,44.4,0,snow,22,1028,59.4,150.1,12.8,,,,,,,,,0,,0,,0,,,,,,44.6
2014-03-05,0.9,48.4,0,,25.2,1024.9,63.6,205.5,17.7,,,,,,,,,0,,0,,0,,,,,,45
2014-03-06,-0.4,52.5,0,,27.7,1032.4,84.7,187.7,16.1,,,,,,,,,0,,0,,0,,,,,,45.4
2014-03-07,3,61.9,0,,24.4,1020.9,87.6,93.5,8.3,,,,,,,,,0,,0,,0,,,,,,45.8
2014-03-08,8.4,55.3,0,,16.5,1013.8,50.1,210.8,18.3,,,,,,,,,0,,0,,0,,,,,,46.2
2014-03-09,8.4,44,0,,29.6,1017.2,68.1,237.9,19.8,,,,,,,,,0,,0,,0,,,,,,46.6
2014-03-10,8.6,47.5,0,,30.8,1010.8,68.6,120.3,10.4,,,,,,,,,0,,0,,0,,,,,,47
2014-03-11,12.7,49.7,0,,13.5,1005.2,64.1,192.5,16.6,,,,,,,,,0,,0,,0,,,,,,47.4
2014-03-12,11.9,63.2,29.17,rain,42.6,994.7,85,84.3,7.1,,,,,,,,,0,,0,,0,,,,,,47.8
2014-03-13,-0.8,32.6,66.67,"rain,snow",47,1011.7,21.4,252,21.7,,,,,,,,,0,,0,,0,,,,,,48.2
2014-03-14,6,33.8,0,,31,1020.3,76,228.9,19.7,,,,,,,,,0,,0,,0,,,,,,48.6
2014-03-15,14.2,27.9,0,,30.9,1012.7,54.8,230.8,20,,,,,,,,,0,,0,,0,,,,,,49
2014-03-16,5.5,51.8,12.5,"rain,snow",25.9,1020.6,60.1,95.7,8.3,,,,,,,,,0,,0,,0,,,,,,49.4
2014-03-17,-1.7,75.8,87.5,"rain,snow",27.7,1017.7,99.9,65.4,5.6,,,,,,,,,0,,0,,0,,,,,,49.8
2014-03-18,2.7,55.2,8.33,"rain,snow",23.2,1021.8,99,210,18.2,,,,,,,,,0,,0,,0,,,,,,50.2
2014-03-19,4.4,78.7,37.5,rain,14.6,1019.8,98.9,94.9,8.3,,,,,,,,,0,,0,,0,,,,,,50.6
2014-03-20,10.3,56.6,12.5,rain,33.3,1012.6,55.5,248.5,21.4,,,,,,,,,0,,0,,0,,,,,,51
2014-03-21,9.3,51.1,0,,19.6,1017.8,66.9,222.5,19.1,,,,,,,,,0,,0,,0,,,,,,51.4
2014-03-22,12.7,50.3,0,,22.9,1012.9,61.1,133.6,11.6,,,,,,,,,0,,0,,0,,,,,,51.8
2014-03-23,7.3,43.3,0,,31.3,1018.5,60.2,90,7.7,,,,,,,,,0,,0,,0,,,,,,52.2
2014-03-24,1,33.6,0,,32.9,1024.1,16.5,271.1,23.3,,,,,,,,,0,,0,,0,,,,,,52.6
2014-03-25,1,74.7,50,"rain,snow",18.8,1016.4,94.6,62.1,5.4,,,,,,,,,0,,0,,0,,,,,,53
2014-03-26,0.8,47.9,20.83,"rain,snow",42.1,1019.2,34.6,236.3,20.4,,,,,,,,,0,,0,,0,,,,,,53.3
2014-03-27,3.8,39.3,0,,23.6,1028.2,52.3,195,16.9,,,,,,,,,0,,0,,0,,,,,,53.7
2014-03-28,13.2,62.2,16.67,rain,35.7,1019,93.5,126,10.9,,,,,,,,,0,,0,,0,,,,,,54.1
2014-03-29,14.6,88.5,75,rain,18.1,1012.6,99.8,73.3,6.3,,,,,,,,,0,,0,,0,,,,,,54.5
2014-03-30,7.2,83.1,100,"rain,snow",40.8,1003.5,99.7,81.4,7,,,,,,,,,0,,0,,0,,,,,,54.9
2014-03-31,12,43.4,8.33,rain,32.7,1015.2,50.9,281.8,24.4,,,,,,,,,0,,0,,0,,,,,,55.3
2014-04-01,11.9,47.4,0,,15.7,1019,37.2,217.9,18.6,,,,,,,,,0,,0,,0,,,,,,55.7
2014-04-02,12.3,63.7,0,,11.5,1018.3,65.4,220.1,19,,,,,,,,,0,,0,,0,,,,,,56.1
2014-04-03,15.1,60.9,0,,17.4,1017.6,93.2,206.1,17.8,,,,,,,,,0,,0,,0,,,,,,56.5
2014-04-04,12.7,67.7,0,,24.3,1011,94.1,153.7,13.1,,,,,,,,,0,,0,,0,,,,,,56.9
2014-04-05,11.7,54.5,12.5,rain,31.9,1013.9,62.6,276.3,24.1,,,,,,,,,0,,0,,0,,,,,,57.3
2014-04-06,9.6,36.2,0,,20.9,1023.2,40.3,291,25.2,,,,,,,,,0,,0,,0,,,,,,57.6
2014-04-07,9,75.9,54.17,rain,18.8,1015,97.4,44.7,3.7,,,,,,,,,0,,0,,0,,,,,,58
2014-04-08,14.5,65.7,12.5,rain,32.7,1002.1,85.6,128,11,,,,,,,,,0,,0,,0,,,,,,58.4
2014-04-09,13.6,45.6,4.17,rain,33,1009.8,49.6,245.1,21.2,,,,,,,,,0,,0,,0,,,,,,58.8
2014-04-10,15.1,41.5,0,,33.2,1020.1,23.2,295,25.6,,,,,,,,,0,,0,,0,,,,,,59.1
2014-04-11,20,40.8,0,,30.4,1016.5,82.5,159.6,13.8,,,,,,,,,0,,0,,0,,,,,,59.5
2014-04-12,19.1,49.4,0,,20.2,1021.6,59.1,287.7,24.7,,,,,,,,,0,,0,,0,,,,,,59.9
2014-04-13,20.8,58,0,,28.5,1018.7,63.3,255.1,22.2,,,,,,,,,0,,0,,0,,,,,,60.2
2014-04-14,22.1,56,0,,40,1013.6,83.6,169.5,14.7,,,,,,,,,0,,0,,0,,,,,,60.6
2014-04-15,14.7,80.4,70.83,rain,38.6,1006.9,98.9,94.3,7.9,,,,,,,,,0,,0,,0,,,,,,61
2014-04-16,5.3,38.5,4.17,rain,42.3,1028.2,22.4,319.3,27.4,,,,,,,,,0,,0,,0,,,,,,61.3
2014-04-17,7.9,53.9,0,,23,1036.2,44,310.7,26.8,,,,,,,,,0,,0,,0,,,,,,61.7
2014-04-18,8,59,0,,13.4,1031,86,159.4,13.8,,,,,,,,,0,,0,,0,,,,,,62
2014-04-19,13.8,49.4,0,,16,1025.1,79.5,193.1,16.6,,,,,,,,,0,,0,,0,,,,,,62.4
2014-04-20,13.3,48.2,0,,21.7,1028.1,67.7,268.7,23,,,,,,,,,0,,0,,0,,,,,,62.7
2014-04-21,13,47,0,,13.8,1020,43.5,318.9,27.7,,,,,,,,,0,,0,,0,,,,,,63.1
2014-04-22,16,68.6,12.5,rain,17.9,1006.2,82.1,236.1,20.3,,,,,,,,,0,,0,,0,,,,,,63.4
2014-04-23,13.3,45.4,0,,37.9,1009.6,39.8,309,26.9,,,,,,,,,0,,0,,0,,,,,,63.7
2014-04-24,12.6,33.4,0,,25.1,1017.9,31.7,325.7,28.4,,,,,,,,,0,,0,,0,,,,,,64.1
2014-04-25,13.9,56.1,12.5,rain,28.8,1012.5,85.4,246.5,21.4,,,,,,,,,0,,0,,0,,,,,,64.4
2014-04-26,17.6,52.7,12.5,rain,30.5,1009.6,51.7,305.9,26.4,,,,,,,,,0,,0,,0,,,,,,64.7
2014-04-27,15.3,40.2,0,,29.1,1016.8,41.5,324.8,28.2,,,,,,,,,0,,0,,0,,,,,,65
2014-04-28,13,60.3,29.17,rain,17.3,1018.7,91.2,151.1,13,,,,,,,,,0,,0,,0,,,,,,65.4
2014-04-29,10.2,86.4,79.17,rain,24.4,1021.1,100,87.2,7.6,,,,,,,,,0,,0,,0,,,,,,65.7
2014-04-30,14.3,91.2,91.67,rain,21.8,1016.5,99.7,85.5,7.3,,,,,,,,,0,,0,,0,,,,,,66
2014-05-01,19.8,69.7,20.83,rain,25.1,1009,78.8,242.9,21,,,,,,,,,0,,0,,0,,,,,,66.3
2014-05-02,17.6,41,4.17,rain,25.7,1010.6,80.2,288.7,24.9,,,,,,,,,0,,0,,0,,,,,,66.6
2014-05-03,18.2,46.1,0,,21.2,1010.5,78.3,225.2,19.5,,,,,,,,,0,,0,,0,,,,,,66.9
2014-05-04,18.3,44.8,0,,39.9,1009.8,44.6,299.1,26,,,,,,,,,0,,0,,0,,,,,,67.2
2014-05-05,14.1,45.6,16.67,rain,25.3,1015.5,62.1,251.2,21.8,,,,,,,,,0,,0,,0,,,,,,67.5
