DATE,IY111
2005-12-01,100.0
2006-01-01,101.7
2006-02-01,100.1
2006-03-01,99.9
2006-04-01,99.8
2006-05-01,100.2
2006-06-01,104.8
2006-07-01,106.8
2006-08-01,107.2
2006-09-01,105.2
2006-10-01,107.5
2006-11-01,116.6
2006-12-01,120.0
2007-01-01,119.4
2007-02-01,123.1
2007-03-01,126.7
2007-04-01,121.8
2007-05-01,121.2
2007-06-01,125.2
2007-07-01,130.3
2007-08-01,131.8
2007-09-01,142.5
2007-10-01,153.9
2007-11-01,155.7
2007-12-01,163.1
2008-01-01,175.7
2008-02-01,187.5
2008-03-01,197.4
2008-04-01,187.1
2008-05-01,183.8
2008-06-01,188.4
2008-07-01,206.8
2008-08-01,174.7
2008-09-01,175.2
2008-10-01,152.5
2008-11-01,142.7
2008-12-01,131.8
2009-01-01,147.3
2009-02-01,141.7
2009-03-01,131.9
2009-04-01,142.4
2009-05-01,149.4
2009-06-01,157.3
2009-07-01,144.5
2009-08-01,144.7
2009-09-01,134.7
2009-10-01,135.6
2009-11-01,144.2
2009-12-01,148.1
2010-01-01,152.3
2010-02-01,140.1
2010-03-01,145.6
2010-04-01,144.0
2010-05-01,146.6
2010-06-01,144.9
2010-07-01,143.9
2010-08-01,155.4
2010-09-01,161.8
2010-10-01,168.2
2010-11-01,192.4
2010-12-01,197.9
2011-01-01,209.0
2011-02-01,223.1
2011-03-01,229.4
2011-04-01,224.7
2011-05-01,220.3
2011-06-01,222.1
2011-07-01,206.5
2011-08-01,211.6
2011-09-01,216.2
2011-10-01,191.5
2011-11-01,199.7
2011-12-01,193.0
2012-01-01,197.9
2012-02-01,196.6
2012-03-01,202.5
2012-04-01,208.1
2012-05-01,210.3
2012-06-01,197.0
2012-07-01,218.6
2012-08-01,230.7
2012-09-01,235.4
2012-10-01,226.4
2012-11-01,226.8
2012-12-01,226.5
2013-01-01,222.2
2013-02-01,228.9
2013-03-01,224.0
2013-04-01,213.8
2013-05-01,219.6
2013-06-01,222.3
2013-07-01,220.1
2013-08-01,202.2
2013-09-01,205.5
2013-10-01,200.5
2013-11-01,199.1
2013-12-01,199.6
2014-01-01,200.0
2014-02-01,202.7
2014-03-01,210.6
2014-04-01,212.3
2014-05-01,213.1
2014-06-01,206.2
2014-07-01,197.1
2014-08-01,186.6
2014-09-01,182.8
2014-10-01,174.0
2014-11-01,177.9
2014-12-01,178.9
2015-01-01,178.6
2015-02-01,173.2
2015-03-01,172.9
2015-04-01,174.0
2015-05-01,171.2
2015-06-01,168.9
2015-07-01,175.2
2015-08-01,166.1
2015-09-01,161.7
2015-10-01,164.4
2015-11-01,161.7
2015-12-01,159.8
2016-01-01,157.7
2016-02-01,159.5
2016-03-01,152.9
2016-04-01,154.6
2016-05-01,162.3
2016-06-01,170.1
2016-07-01,167.4
2016-08-01,157.2
2016-09-01,154.9
2016-10-01,156.6
2016-11-01,158.8
2016-12-01,158.4
2017-01-01,159.1
2017-02-01,163.5
2017-03-01,165.3
2017-04-01,164.5
2017-05-01,160.0
2017-06-01,154.4
2017-07-01,159.3
2017-08-01,158.1
2017-09-01,156.5
2017-10-01,163.1
2017-11-01,160.3
2017-12-01,159.0
2018-01-01,160.8
2018-02-01,161.3
2018-03-01,171.1
2018-04-01,167.1
2018-05-01,171.2
2018-06-01,168.3
2018-07-01,153.2
2018-08-01,156.2
2018-09-01,151.2
2018-10-01,151.0
2018-11-01,155.8
2018-12-01,166.1
2019-01-01,159.5
2019-02-01,160.2
2019-03-01,161.8
2019-04-01,157.9
2019-05-01,154.0
2019-06-01,160.9
2019-07-01,160.7
2019-08-01,153.2
2019-09-01,149.9
2019-10-01,155.5
2019-11-01,160.7
2019-12-01,158.8
2020-01-01,164.8
2020-02-01,157.9
2020-03-01,155.5
2020-04-01,147.3
2020-05-01,145.5
2020-06-01,147.5
2020-07-01,151.4
2020-08-01,146.6
2020-09-01,155.3
2020-10-01,163.9
2020-11-01,172.2
2020-12-01,172.2
2021-01-01,190.4
2021-02-01,197.1
2021-03-01,201.4
2021-04-01,199.8
2021-05-01,221.2
2021-06-01,215.9
2021-07-01,209.7
2021-08-01,213.3
2021-09-01,207.8
2021-10-01,208.3
2021-11-01,213.5
2021-12-01,216.3
2022-01-01,226.4
2022-02-01,237.4
2022-03-01,254.7
2022-04-01,255.6
2022-05-01,263.8
2022-06-01,263.1
2022-07-01,247.3
2022-08-01,245.0
2022-09-01,240.6
2022-10-01,236.1
2022-11-01,247.7
2022-12-01,238.9
2023-01-01,234.4
2023-02-01,237.4
2023-03-01,230.0
2023-04-01,230.6
2023-05-01,221.8
2023-06-01,215.1
2023-07-01,219.0
2023-08-01,209.2
2023-09-01,203.4
2023-10-01,199.8
2023-11-01,200.5
2023-12-01,201.8
2024-01-01,196.6
2024-02-01,198.2
2024-03-01,193.3
