datetime,temp,humidity,precipcover,preciptype,windspeed,sealevelpressure,cloudcover,solarradiation,solarenergy,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisture20,windspeed50,winddir50,windspeed80,winddir80,windspeed100,winddir100,ghiradiation,dniradiation,difradiation,gtiradiation,sunelevation
2014-01-01,-1.7,49.8,0,,18.8,1027.7,45.2,107.9,9.1,,,,,,,,,0,,0,,0,,,,,,26.4
2014-01-02,-2.9,75.1,20.83,snow,27.6,1015.5,100,20.8,1.7,,,,,,,,,0,,0,,0,,,,,,26.4
2014-01-03,-10.3,62.9,33.33,snow,28.5,1017.9,53.5,74.6,6.5,,,,,,,,,0,,0,,0,,,,,,26.5
2014-01-04,-7.7,48.7,0,snow,15,1030.6,16.6,116.5,10,,,,,,,,,0,,0,,0,,,,,,26.6
2014-01-05,-0.5,80.7,25,"rain,snow",11.4,1022.5,75.4,36.2,3,,,,,,,,,0,,0,,0,,,,,,26.8
2014-01-06,6.7,73.9,45.83,rain,40.1,1001.1,91,29.4,2.5,,,,,,,,,0,,0,,0,,,,,,26.9
2014-01-07,-13,38.5,0,snow,46.7,1020.3,6.3,123.1,10.6,,,,,,,,,0,,0,,0,,,,,,27
2014-01-08,-9.5,43.2,0,,22.3,1032.5,29.4,119.1,10.3,,,,,,,,,0,,0,,0,,,,,,27.1
2014-01-09,-3,44.3,0,,18.4,1036.1,30.8,117.9,10.3,,,,,,,,,0,,0,,0,,,,,,27.3
2014-01-10,0.4,77.1,50,"rain,snow",9.2,1030.8,95.4,35.2,3.1,,,,,,,,,0,,0,,0,,,,,,27.4
2014-01-11,10.1,91.7,91.67,rain,23.8,1007.4,99.7,44.6,3.9,,,,,,,,,0,,0,,0,,,,,,27.6
2014-01-12,7.1,55.1,12.5,rain,31.4,1007.6,64.2,117.8,10.2,,,,,,,,,0,,0,,0,,,,,,27.7
2014-01-13,6.4,61.5,0,,18,1017.8,23.5,106.1,9.3,,,,,,,,,0,,0,,0,,,,,,27.9
2014-01-14,8.4,80.1,54.17,rain,16.7,1008.9,84.7,16.6,1.4,,,,,,,,,0,,0,,0,,,,,,28.1
2014-01-15,5.1,85.1,0,,12.5,1013.6,69.9,50.7,4.4,,,,,,,,,0,,0,,0,,,,,,28.3
2014-01-16,3.7,73,0,,19.9,1012.6,99,57,5,,,,,,,,,0,,0,,0,,,,,,28.4
2014-01-17,3.5,56,0,,19.2,1014,54.7,123.2,10.7,,,,,,,,,0,,0,,0,,,,,,28.6
2014-01-18,2,71.1,20.83,"rain,snow",29.9,1008.1,86.6,61.1,5.3,,,,,,,,,0,,0,,0,,,,,,28.8
2014-01-19,-1,55.4,0,,31.1,1007.8,63.4,126,10.9,,,,,,,,,0,,0,,0,,,,,,29.1
2014-01-20,4.1,50,0,,34.8,1005.1,84.1,95.6,8.4,,,,,,,,,0,,0,,0,,,,,,29.3
2014-01-21,-6.2,67.9,45.83,snow,34.2,1013.8,100,34.9,3,,,,,,,,,0,,0,,0,,,,,,29.5
2014-01-22,-11,52.3,0,snow,40.7,1011.1,63.6,116.8,9.9,,,,,,,,,0,,0,,0,,,,,,29.7
2014-01-23,-10,50.8,0,,29.5,1020.9,61,124.1,10.7,,,,,,,,,0,,0,,0,,,,,,29.9
2014-01-24,-9.5,44.6,0,,27.7,1025.9,43,138.4,12,,,,,,,,,0,,0,,0,,,,,,30.2
2014-01-25,-4.9,58.8,16.67,snow,34.5,1005.5,89.4,45.4,3.9,,,,,,,,,0,,0,,0,,,,,,30.4
2014-01-26,-5.5,48.2,0,,37.8,1008.7,52,104.9,9,,,,,,,,,0,,0,,0,,,,,,30.7
2014-01-27,0.5,48.7,0,,37.7,1008.4,66.4,67.5,5.9,,,,,,,,,0,,0,,0,,,,,,30.9
2014-01-28,-8.5,33.9,0,,25.1,1025.5,61.3,90.6,7.9,,,,,,,,,0,,0,,0,,,,,,31.2
2014-01-29,-8,45.7,16.67,snow,21.6,1022.4,38.9,128.2,11,,,,,,,,,0,,0,,0,,,,,,31.5
2014-01-30,-5.5,41.7,0,,14.1,1028.3,5.3,152.8,13.1,,,,,,,,,0,,0,,0,,,,,,31.7
2014-01-31,0.1,40.9,0,,17.6,1021.3,74.2,97.2,8.4,,,,,,,,,0,,0,,0,,,,,,32
2014-02-01,3.8,49.3,0,,14,1023.7,37.2,100.6,8.7,,,,,,,,,0,,0,,0,,,,,,32.3
2014-02-02,6.7,67.9,4.17,rain,11.3,1014.8,59.2,116.8,10.1,,,,,,,,,0,,0,,0,,,,,,32.6
2014-02-03,0.4,85.5,70.83,"rain,snow",17.9,1021,94.3,38.1,3.3,,,,,,,,,0,,0,,0,,,,,,32.9
2014-02-04,-1.7,69.9,0,"rain,snow",10.2,1029,52,116.4,10.1,,,,,,,,,0,,0,,0,,,,,,33.2
2014-02-05,0,86.6,54.17,"rain,snow",24.4,1012.1,99.9,34.8,3,,,,,,,,,0,,0,,0,,,,,,33.5
2014-02-06,-3,65.3,0,,22.6,1022.9,66.2,107.5,9.3,,,,,,,,,0,,0,,0,,,,,,33.8
2014-02-07,-2.2,53.4,0,,22.8,1024.9,26.3,153.6,13.3,,,,,,,,,0,,0,,0,,,,,,34.1
2014-02-08,-3.7,40.4,0,,18,1024.7,47.4,66.9,5.9,,,,,,,,,0,,0,,0,,,,,,34.4
2014-02-09,-3.7,54.2,16.67,"rain,snow",12.1,1019.4,55.7,92.5,8,,,,,,,,,0,,0,,0,,,,,,34.7
2014-02-10,-4,53.3,0,snow,24.1,1020.2,20.8,153.8,13.4,,,,,,,,,0,,0,,0,,,,,,35
2014-02-11,-6.1,46.7,0,,28,1028,11.1,168.7,14.6,,,,,,,,,0,,0,,0,,,,,,35.4
2014-02-12,-7.1,52.1,0,snow,16.7,1032.1,32.6,145.3,12.6,,,,,,,,,0,,0,,0,,,,,,35.7
2014-02-13,-0.5,86.6,95.83,"rain,snow",38.8,1005.3,100,24.7,2.1,,,,,,,,,0,,0,,0,,,,,,36
2014-02-14,2.3,65.4,29.17,"rain,snow",38.1,995.3,49,172.4,14.9,,,,,,,,,0,,0,,0,,,,,,36.4
2014-02-15,1,68.9,33.33,"rain,snow",28.9,1005.6,89.1,29.6,2.5,,,,,,,,,0,,0,,0,,,,,,36.7
2014-02-16,-3.8,51.7,0,snow,28.3,1013.2,50.5,147.5,12.8,,,,,,,,,0,,0,,0,,,,,,37.1
2014-02-17,-4.1,39.6,0,,22.7,1025.9,13.7,189.3,16.2,,,,,,,,,0,,0,,0,,,,,,37.4
2014-02-18,0.4,65.5,20.83,"rain,snow",22.9,1019.3,70.1,98.2,8.4,,,,,,,,,0,,0,,0,,,,,,37.8
2014-02-19,3.7,71.2,20.83,rain,20.7,1012.4,57.1,93.5,8.1,,,,,,,,,0,,0,,0,,,,,,38.1
2014-02-20,5.5,56.6,12.5,rain,19.5,1021,48.9,177.8,15.2,,,,,,,,,0,,0,,0,,,,,,38.5
2014-02-21,4,88.8,20.83,"rain,snow",21.7,1011.4,88.2,77.7,6.8,,,,,,,,,0,,0,,0,,,,,,38.8
2014-02-22,7.8,44.7,0,rain,29.9,1015.4,13.4,175.5,15.2,,,,,,,,,0,,0,,0,,,,,,39.2
2014-02-23,8.7,44.5,0,,18,1013.9,44.7,109.9,9.5,,,,,,,,,0,,0,,0,,,,,,39.6
2014-02-24,2.2,42.2,0,,35,1012.9,51.1,191,16.4,,,,,,,,,0,,0,,0,,,,,,40
2014-02-25,-2.2,44,0,snow,25.7,1016.4,52.8,65.9,5.7,,,,,,,,,0,,0,,0,,,,,,40.3
2014-02-26,-3.2,45.9,8.33,snow,28.8,1012.2,54.4,93.9,7.9,,,,,,,,,0,,0,,0,,,,,,40.7
2014-02-27,-4.4,37.4,0,,32.2,1008.5,44.5,175.7,15.2,,,,,,,,,0,,0,,0,,,,,,41.1
2014-02-28,-8.4,33,0,snow,25.5,1026.9,5.5,215.9,18.6,,,,,,,,,0,,0,,0,,,,,,41.5
2014-03-01,-1.4,42.7,0,,13.8,1026.5,44.4,203.1,17.5,,,,,,,,,0,,0,,0,,,,,,41.8
2014-03-02,2.5,47,0,,19.6,1017.6,95.7,97.5,8.5,,,,,,,,,0,,0,,0,,,,,,42.2
2014-03-03,-5.2,45.4,12.5,snow,25.6,1021.4,68.9,57.8,4.9,,,,,,,,,0,,0,,0,,,,,,42.6
2014-03-04,-5.8,40.6,0,snow,15.6,1027.2,33.1,121.3,10.4,,,,,,,,,0,,0,,0,,,,,,43
2014-03-05,-0.4,35.4,0,,21.3,1025.1,83.3,213.6,18.5,,,,,,,,,0,,0,,0,,,,,,43.4
2014-03-06,-4.5,42.4,0,,23.8,1034.4,23.7,196.3,16.9,,,,,,,,,0,,0,,0,,,,,,43.8
2014-03-07,-0.2,64.2,0,,20.9,1023.5,96.7,100.5,8.6,,,,,,,,,0,,0,,0,,,,,,44.2
2014-03-08,7,52.5,0,,18,1010.8,60,216.6,18.8,,,,,,,,,0,,0,,0,,,,,,44.5
2014-03-09,4.5,39.9,0,rain,20.7,1014.5,54.6,220.5,18.4,,,,,,,,,0,,0,,0,,,,,,44.9
2014-03-10,6.1,43.3,0,,17.3,1008.7,87.5,124.2,10.7,,,,,,,,,0,,0,,0,,,,,,45.3
2014-03-11,12.6,42,0,,17.1,1003,41.9,175.5,15.1,,,,,,,,,0,,0,,0,,,,,,45.7
2014-03-12,10.1,68.4,29.17,rain,34,994.2,76.6,87.7,7.7,,,,,,,,,0,,0,,0,,,,,,46.1
2014-03-13,-4.2,42.4,0,,38.7,1002.6,63.3,179.7,15.6,,,,,,,,,0,,0,,0,,,,,,46.5
2014-03-14,0.4,36.7,0,,25.5,1019.4,41.7,231.8,20.1,,,,,,,,,0,,0,,0,,,,,,46.9
2014-03-15,10.3,36.1,0,,28.2,1010,57.5,215.4,18.7,,,,,,,,,0,,0,,0,,,,,,47.3
2014-03-16,1.6,33.5,0,,30.3,1020.4,37.1,172.7,14.8,,,,,,,,,0,,0,,0,,,,,,47.7
