datetime,temp,humidity,precipcover,preciptype,windspeed,sealevelpressure,cloudcover,solarradiation,solarenergy,soiltemp01,soiltemp04,soiltemp10,soiltemp20,soilmoisture01,soilmoisture04,soilmoisture10,soilmoisture20,windspeed50,winddir50,windspeed80,winddir80,windspeed100,winddir100,ghiradiation,dniradiation,difradiation,gtiradiation,sunelevation
2014-01-01,25.1,71.9,12.5,rain,27.7,1020.3,82.3,151.5,13.1,,,,,,,,,0,,0,,0,,,,,,40
2014-01-02,25.1,71.3,4.17,rain,31.3,1014.4,41.3,182.7,15.7,,,,,,,,,0,,0,,0,,,,,,40.1
2014-01-03,18.3,66.4,0,,36.8,1018,87.1,138.6,11.9,,,,,,,,,0,,0,,0,,,,,,40.2
2014-01-04,21.8,67,16.67,rain,27.5,1020.2,80.8,100.1,8.6,,,,,,,,,0,,0,,0,,,,,,40.3
2014-01-05,23.2,83.4,29.17,rain,27.8,1016.1,80.5,153.3,13.3,,,,,,,,,0,,0,,0,,,,,,40.4
2014-01-06,21.5,77.6,12.5,rain,29.5,1016.7,73.2,123.8,10.8,,,,,,,,,0,,0,,0,,,,,,40.5
2014-01-07,11.6,62.1,0,,33.3,1024.6,100,103.7,9,,,,,,,,,0,,0,,0,,,,,,40.6
2014-01-08,16.4,87.7,79.17,rain,35.1,1024.6,100,95,8.1,,,,,,,,,0,,0,,0,,,,,,40.7
2014-01-09,20.8,94.4,20.83,rain,43.9,1022.2,99.8,88,7.6,,,,,,,,,0,,0,,0,,,,,,40.8
2014-01-10,24,78.9,33.33,rain,36.5,1020.1,87.8,121.4,10.5,,,,,,,,,0,,0,,0,,,,,,41
2014-01-11,25.1,79.7,0,,31.3,1017.5,68.1,172.2,14.8,,,,,,,,,0,,0,,0,,,,,,41.1
2014-01-12,21.4,72.8,0,,20.5,1019.4,55.9,173.3,14.8,,,,,,,,,0,,0,,0,,,,,,41.2
2014-01-13,23.3,73,0,,22.2,1019.1,62.6,177.9,15.4,,,,,,,,,0,,0,,0,,,,,,41.4
2014-01-14,23.6,77.8,0,,25.7,1015.2,65.6,182.7,15.8,,,,,,,,,0,,0,,0,,,,,,41.6
2014-01-15,18,77.4,20.83,rain,25.7,1014.9,95.2,124.6,10.7,,,,,,,,,0,,0,,0,,,,,,41.7
2014-01-16,12.7,59.7,4.17,rain,31.5,1017.6,48.8,200.9,17.3,,,,,,,,,0,,0,,0,,,,,,41.9
2014-01-17,11.4,54.5,0,,14.7,1020.8,75,165.4,14.3,,,,,,,,,0,,0,,0,,,,,,42.1
2014-01-18,12.7,53.8,0,,25.7,1021.8,40.6,163.6,14.3,,,,,,,,,0,,0,,0,,,,,,42.3
2014-01-19,13.1,47.7,0,,20.3,1022.4,29.1,209.4,18.2,,,,,,,,,0,,0,,0,,,,,,42.5
